id,provincia,nombre
556,1,CAMILO PONCE ENRIQUEZ
915,1,CHORDELEG
260,1,CUENCA
960,1,EL PAN
270,1,GIRON
990,1,GUACHAPALA
265,1,GUALACEO
885,1,NABON
780,1,OÑA
275,1,PAUTE
555,1,PUCARA
855,1,SAN FERNANDO
285,1,SANTA ISABEL
955,1,SEVILLA DE ORO
280,1,SIGSIG
760,2,CALUMA
180,2,CHILLANES
170,2,CHIMBO
185,2,ECHEANDIA
165,2,GUARANDA
950,2,LAS NAVES
175,2,SAN MIGUEL
235,3,AZOGUES
245,3,BIBLIAN
240,3,CAÑAR
905,3,DELEG
765,3,EL TAMBO
250,3,LA TRONCAL
241,3,SUSCAL
25,4,BOLIVAR
15,4,ESPEJO
20,4,MIRA
10,4,MONTUFAR
995,4,SAN PEDRO DE HUACA
5,4,TULCAN
215,6,ALAUSI
190,6,CHAMBO
220,6,CHUNCHI
205,6,COLTA
900,6,CUMANDA
210,6,GUAMOTE
200,6,GUANO
830,6,PALLATANGA
225,6,PENIPE
195,6,RIOBAMBA
825,5,LA MANA
100,5,LATACUNGA
120,5,PANGUA
105,5,PUJILI
110,5,SALCEDO
115,5,SAQUISILI
930,5,SIGCHOS
375,7,ARENILLAS
705,7,ATAHUALPA
875,7,BALSAS
585,7,CHILLA
380,7,EL GUABO
695,7,HUAQUILLAS
755,7,LAS LAJAS
350,7,MACHALA
860,7,MARCABELI
365,7,PASAJE
370,7,PIÑAS
690,7,PORTOVELO
355,7,SANTA ROSA
360,7,ZARUMA
785,8,ATACAMES
565,8,ELOY ALFARO
560,8,ESMERALDAS
570,8,MUISNE
575,8,QUININDE
561,8,RIO VERDE
580,8,SAN LORENZO
810,20,ISABELA
800,20,SAN CRISTOBAL
805,20,SANTA CRUZ
835,9,A.BAQUERIZO MORENO
95,9,BALAO
415,9,BALZAR
125,9,COLIMES
890,9,CRNL MARCELINO MARIDUENAS
400,9,DAULE
820,9,DURAN
385,9,EL EMPALME
505,9,EL TRIUNFO
985,9,GRAL. A. ELIZALDE
390,9,GUAYAQUIL
986,9,ISIDRO AYORA
920,9,LOMAS DE SARGENTILLO
420,9,MILAGRO
435,9,NARANJAL
510,9,NARANJITO
940,9,NOBOL / PIEDRAHITA
675,9,PALESTINA
715,9,PEDRO CARBO
735,9,PLAYAS
430,9,SALITRE
425,9,SAMBORONDON
870,9,SANTA LUCIA
790,9,SIMON BOLIVAR
395,9,YAGUACHI
45,10,ANTONIO ANTE
40,10,COTACACHI
30,10,IBARRA
35,10,OTAVALO
50,10,PIMAMPIRO
55,10,URCUQUI
320,11,CALVAS
290,11,CATAMAYO
315,11,CELICA
815,11,CHAGUARPAMBA
340,11,ESPINDOLA
335,11,GONZANAMA
300,11,LOJA
325,11,MACARA
311,11,OLMEDO
310,11,PALTAS
730,11,PINDAL
330,11,PUYANGO
740,11,QUILANGA
305,11,SARAGURO
345,11,SOZORANGA
295,11,ZAPOTILLO
520,12,BABA
515,12,BABAHOYO
945,12,BUENA FE
946,12,MOCACHE
710,12,MONTALVO
750,12,PALENQUE
530,12,PUEBLO VIEJO
540,12,QUEVEDO
546,12,QUINSALOMA
535,12,URDANETA
516,12,VALENCIA
545,12,VENTANAS
525,12,VINCES
460,13,24 DE MAYO
485,13,BOLIVAR
480,13,CHONE
500,13,EL CARMEN
230,13,FLAVIO ALFARO
476,13,JAMA
446,13,JARAMIJO
455,13,JIPIJAPA
490,13,JUNIN
450,13,MANTA
445,13,MONTECRISTI
970,13,OLMEDO
495,13,PAJAN
910,13,PEDERNALES
840,13,PICHINCHA
440,13,PORTOVIEJO
975,13,PUERTO LOPEZ
465,13,ROCAFUERTE
477,13,SAN VICENTE
470,13,SANTA ANA
475,13,SUCRE
550,13,TOSAGUA
595,14,GUALAQUIZA
795,14,HUAMBOYA
600,14,LIMON INDANZA
611,14,LOGROÑO
590,14,MORONA
796,14,PABLO SEXTO
615,14,PALORA
925,14,SAN JUAN BOSCO
605,14,SANTIAGO
610,14,SUCUA
926,14,TAISHA
797,14,TIWINTZA
700,15,ARCHIDONA
621,15,C. J. AROSEMENA TOLA
255,15,EL CHACO
635,15,QUIJOS
620,15,TENA
630,22,AGUARICO
645,22,FCO.DE ORELLANA
725,22,JOYA DE LOS SACHAS
935,22,LORETO
881,16,ARAJUNO
685,16,MERA
680,16,PASTAZA
880,16,SANTA CLARA
65,17,CAYAMBE
70,17,MEJIA
75,17,PEDRO MONCAYO
895,17,PEDRO VICENTE MALDONADO
896,17,PUERTO QUITO
60,17,QUITO
80,17,RUMINAHUI
770,17,SAN MIGUEL DE LOS BANCOS
965,24,LA LIBERTAD
405,24,SALINAS
410,24,SANTA ELENA
982,23,LA CONCORDIA
85,23,SANTO DOMINGO
745,21,CASCALES
626,21,CUYABENO
865,21,GONZALO PIZARRO
625,21,LAGO AGRIO
650,21,PUTUMAYO
720,21,SHUSHUFINDI
640,21,SUCUMBIOS
135,18,AMBATO
150,18,BAÑOS
845,18,CEVALLOS
850,18,MOCHA
155,18,PATATE
140,18,PELILEO
145,18,PILLARO
160,18,QUERO
90,18,TISALEO
980,19,CENTINELA DEL CONDOR
660,19,CHINCHIPE
775,19,EL PANGUI
130,19,NANGARITZA
661,19,PALANDA
981,19,PAQUISHA
665,19,YACUAMBI
670,19,YANZATZA
655,19,ZAMORA
